Map number,Total Path Length,Final Distance to Target,Minimum Distance to Obstacles,Total Control Effort,Average Computation Time per Iteration,Total Number of Iterations,Total Number of Function Evaluations,L2 Norm of Control Input Changes,Success
1,8.644222548260093,0.08682580162361973,-0.02583895697074845,99.57623917161862,0.11611879541632834,89,15999,3.781499568602567,True
2,8.312838967750494,0.08739704527975091,0.05238279021843928,103.38184976079128,0.18257505472968608,85,23095,2.0894082207492897,True
3,7.996713214880876,0.08005814562170491,0.1566752866715042,86.2170503119163,0.22606130344111744,82,26349,0.6461893540658348,True
4,8.126411054529282,0.09017758347161635,0.27756545568115465,92.73337773569484,0.24835675021252,83,31210,0.701706200942725,True
5, None, None, None, None, None, None, None, None, None
6,8.04656895621025,0.09773267349419013,0.15479549617436816,94.28042878611552,0.20538514416392256,82,24859,1.2851451308389976,True
7,7.825186550352149,0.0892784830153126,0.37133062202264333,83.83330467919804,0.1908559113740921,80,22664,0.35463160632433016,True
8,8.80607554440842,0.09407566990855808,0.030468713819826188,106.5468881533358,0.2649747371673584,90,34956,4.290089647719817,True
9, None, None, None, None, None, None, None, None, None
10,7.981424012931183,0.07351813949690603,0.2027617426537056,91.32650871156149,0.19346573003908482,82,26415,0.4168546225577154,True
11,9.024813147227805,0.09005511520757062,0.032603101086004505,110.74712024135815,0.19458353519439697,98,30742,8.578253912364955,True
12,7.814467509807914,0.08499629337376187,0.6983290132425672,82.87996909972082,0.10236412882804871,80,13352,0.4213167905871683,True
13,7.818230007076078,0.08660541075928611,0.455305957874065,83.3124892359774,0.1076797753572464,80,17138,0.6639615280703436,True
14,3.4999999796807555,4.611223578299891,0.17982247876021606,47.78216642419777,0.264228966501024,35,15453,0.22056028900816216,False
15,7.924543265144344,0.08902336940250577,0.1902235453941774,83.81454454239922,0.15885381345395688,81,20282,0.5212771016847422,True
16, None, None, None, None, None, None, None, None, None
17,9.850999560727745,0.07722381201920739,0.06439051568963317,130.5381651407823,0.20418113690835457,108,37465,11.942322172292787,True
18,8.190017263753468,0.07587083365620387,0.1773686025230311,92.31755746540706,0.18687206222897484,84,26703,0.705042396094828,True
19,8.74850178571438,0.0984979973700152,0.10718268863997049,99.53145122476012,0.11631256274962692,89,20797,0.5101326559523843,True
20,8.050157220462271,0.09980957805346534,0.29259966221595524,90.76990761872372,0.1864743000123559,82,30311,0.6313059306642637,True
